behave_index,user_id,nDCG - baseline,nDCG - tfidf,nDCG%5 - baseline,nDCG%5 - tfidf,nDCG%10 - baseline,nDCG%10 - tfidf
0,U10022,0.2994853170709365,0.2994853170709365,0.03940680154754226,0.03940680154754226,0.0871156416249831,0.0871156416249831
1,U10043,0.22392799691930287,0.22392799691930287,0.029522107861808967,0.029522107861808967,0.05369029300133856,0.05369029300133856
2,U10045,0.2529325606995542,0.2529325606995542,0.01994665263517571,0.01994665263517571,0.044095571686719834,0.044095571686719834
3,U10059,0.3047127830720055,0.3047127830720055,0.0885663235854269,0.0885663235854269,0.16107087900401568,0.16107087900401568
4,U10062,0.3094877044907895,0.3094877044907895,0.044879968429145344,0.044879968429145344,0.09921503629511963,0.09921503629511963
5,U10064,0.2272960871794401,0.2272960871794401,0.012721880814560887,0.012721880814560887,0.028123947296254382,0.028123947296254382
6,U10079,0.36294916443366565,0.36294916443366565,0.16237159323994932,0.16237159323994932,0.2952966115073621,0.2952966115073621
7,U10099,0.6309297535714573,1.0,0.6309297535714573,1.0,0.6309297535714573,1.0
8,U10101,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573
9,U10123,0.32292211851258656,0.32292211851258656,0.10824772882663287,0.10824772882663287,0.1968644076715747,0.1968644076715747
10,U10132,0.3937288153431494,0.3937288153431494,0.21649545765326575,0.21649545765326575,0.3937288153431494,0.3937288153431494
11,U10133,0.33290511309581083,0.5552700753972072,0.02807188822228538,0.3520479254815236,0.08284359056977297,0.38856239371318196
12,U10135,0.1910883066634151,0.1910883066634151,0.01597097638425731,0.01597097638425731,0.029045568344986436,0.029045568344986436
13,U10149,0.5654648767857287,0.5654648767857287,0.5654648767857287,0.5654648767857287,0.5654648767857287,0.5654648767857287
14,U10155,0.6309297535714573,1.0,0.6309297535714573,1.0,0.6309297535714573,1.0
15,U10166,0.2551407450540891,0.2551407450540891,0.0475233931433998,0.0475233931433998,0.08642827653874012,0.08642827653874012
16,U10168,0.29038807983491705,0.29038807983491705,0.07494073534151507,0.07494073534151507,0.13629074377262868,0.13629074377262868
17,U10181,0.21211554494261992,1.0,0.02405505085036286,1.0,0.043747646149238824,1.0
18,U10182,0.19873542577387926,0.19873542577387926,0.006994280794152522,0.006994280794152522,0.015462083578460201,0.015462083578460201
19,U10184,0.26064158630038514,0.26064158630038514,0.05127523997051031,0.05127523997051031,0.09325156152864066,0.09325156152864066
20,U10199,1.0,0.52053543721495,1.0,0.52053543721495,1.0,0.52053543721495
21,U10204,1.0,0.3822502283739475,1.0,0.1948459118879392,1.0,0.3543559338088345
