,loss,epoch,batch,running_loss
0,0.6931471824645996,0,0,0.6931471824645996
0,0.6931471824645996,0,1,1.3862943649291992
0,0.6931471824645996,0,2,2.079441547393799
0,0.6931471824645996,0,3,2.7725887298583984
0,0.6931471824645996,0,4,3.465735912322998
0,0.6931471824645996,0,5,4.158883094787598
0,0.6931471824645996,0,6,4.852030277252197
0,0.6931471824645996,0,7,5.545177459716797
0,0.6931471824645996,0,8,6.2383246421813965
0,0.6931471824645996,0,9,6.931471824645996
0,0.6931471824645996,1,0,0.6931471824645996
0,0.6931471824645996,1,1,1.3862943649291992
0,0.6931471824645996,1,2,2.079441547393799
0,0.6931471824645996,1,3,2.7725887298583984
0,0.6931471824645996,1,4,3.465735912322998
0,0.6931471824645996,1,5,4.158883094787598
0,0.6931471824645996,1,6,4.852030277252197
0,0.6931471824645996,1,7,5.545177459716797
0,0.6931471824645996,1,8,6.2383246421813965
0,0.6931471824645996,1,9,6.931471824645996
0,0.6931471824645996,2,0,0.6931471824645996
0,0.6931471824645996,2,1,1.3862943649291992
0,0.6931471824645996,2,2,2.079441547393799
0,0.6931471824645996,2,3,2.7725887298583984
0,0.6931471824645996,2,4,3.465735912322998
0,0.6931471824645996,2,5,4.158883094787598
0,0.6931471824645996,2,6,4.852030277252197
0,0.6931471824645996,2,7,5.545177459716797
0,0.6931471824645996,2,8,6.2383246421813965
0,0.6931471824645996,2,9,6.931471824645996
0,0.6931471824645996,3,0,0.6931471824645996
0,0.6931471824645996,3,1,1.3862943649291992
0,0.6931471824645996,3,2,2.079441547393799
0,0.6931471824645996,3,3,2.7725887298583984
0,0.6931471824645996,3,4,3.465735912322998
0,0.6931471824645996,3,5,4.158883094787598
0,0.6931471824645996,3,6,4.852030277252197
0,0.6931471824645996,3,7,5.545177459716797
0,0.6931471824645996,3,8,6.2383246421813965
0,0.6931471824645996,3,9,6.931471824645996
0,0.6931471824645996,4,0,0.6931471824645996
0,0.6931471824645996,4,1,1.3862943649291992
0,0.6931471824645996,4,2,2.079441547393799
0,0.6931471824645996,4,3,2.7725887298583984
0,0.6931471824645996,4,4,3.465735912322998
0,0.6931471824645996,4,5,4.158883094787598
0,0.6931471824645996,4,6,4.852030277252197
0,0.6931471824645996,4,7,5.545177459716797
0,0.6931471824645996,4,8,6.2383246421813965
0,0.6931471824645996,4,9,6.931471824645996
0,0.6931471824645996,5,0,0.6931471824645996
0,0.6931471824645996,5,1,1.3862943649291992
0,0.6931471824645996,5,2,2.079441547393799
0,0.6931471824645996,5,3,2.7725887298583984
0,0.6931471824645996,5,4,3.465735912322998
0,0.6931471824645996,5,5,4.158883094787598
0,0.6931471824645996,5,6,4.852030277252197
0,0.6931471824645996,5,7,5.545177459716797
0,0.6931471824645996,5,8,6.2383246421813965
0,0.6931471824645996,5,9,6.931471824645996
0,0.6931471824645996,6,0,0.6931471824645996
0,0.6931471824645996,6,1,1.3862943649291992
0,0.6931471824645996,6,2,2.079441547393799
0,0.6931471824645996,6,3,2.7725887298583984
0,0.6931471824645996,6,4,3.465735912322998
0,0.6931471824645996,6,5,4.158883094787598
0,0.6931471824645996,6,6,4.852030277252197
0,0.6931471824645996,6,7,5.545177459716797
0,0.6931471824645996,6,8,6.2383246421813965
0,0.6931471824645996,6,9,6.931471824645996
0,0.6931471824645996,7,0,0.6931471824645996
0,0.6931471824645996,7,1,1.3862943649291992
0,0.6931471824645996,7,2,2.079441547393799
0,0.6931471824645996,7,3,2.7725887298583984
0,0.6931471824645996,7,4,3.465735912322998
0,0.6931471824645996,7,5,4.158883094787598
0,0.6931471824645996,7,6,4.852030277252197
0,0.6931471824645996,7,7,5.545177459716797
0,0.6931471824645996,7,8,6.2383246421813965
0,0.6931471824645996,7,9,6.931471824645996
0,0.6931471824645996,8,0,0.6931471824645996
0,0.6931471824645996,8,1,1.3862943649291992
0,0.6931471824645996,8,2,2.079441547393799
0,0.6931471824645996,8,3,2.7725887298583984
0,0.6931471824645996,8,4,3.465735912322998
0,0.6931471824645996,8,5,4.158883094787598
0,0.6931471824645996,8,6,4.852030277252197
0,0.6931471824645996,8,7,5.545177459716797
0,0.6931471824645996,8,8,6.2383246421813965
0,0.6931471824645996,8,9,6.931471824645996
0,0.6931471824645996,9,0,0.6931471824645996
0,0.6931471824645996,9,1,1.3862943649291992
0,0.6931471824645996,9,2,2.079441547393799
0,0.6931471824645996,9,3,2.7725887298583984
0,0.6931471824645996,9,4,3.465735912322998
0,0.6931471824645996,9,5,4.158883094787598
0,0.6931471824645996,9,6,4.852030277252197
0,0.6931471824645996,9,7,5.545177459716797
0,0.6931471824645996,9,8,6.2383246421813965
0,0.6931471824645996,9,9,6.931471824645996
