,loss,epoch,batch,running_loss,acc
0,0.6965416073799133,0,0,0.6965416073799133,0.5
0,0.7060770988464355,0,1,0.7060770988464355,0.421875
0,0.7030919790267944,0,2,0.7030919790267944,0.421875
0,0.6952172517776489,0,3,0.6952172517776489,0.484375
0,0.6917493343353271,0,4,0.6917493343353271,0.53125
0,0.6921898722648621,0,5,0.6921898722648621,0.53125
0,0.6934311389923096,0,6,0.6934311389923096,0.484375
0,0.6927640438079834,0,7,0.6927640438079834,0.578125
0,0.6932432651519775,0,8,0.6932432651519775,0.4375
0,0.6930590867996216,0,9,0.6930590867996216,0.546875
0,0.6934337615966797,0,10,0.6934337615966797,0.421875
0,0.6930197477340698,0,11,0.6930197477340698,0.59375
0,0.6931577920913696,0,12,0.6931577920913696,0.5
0,0.69346022605896,0,13,0.69346022605896,0.421875
0,0.693068265914917,0,14,0.693068265914917,0.53125
0,0.6931179761886597,0,15,0.6931179761886597,0.484375
0,0.6930110454559326,0,16,0.6930110454559326,0.546875
0,0.6931456327438354,0,17,0.6931456327438354,0.484375
0,0.693230390548706,0,18,0.693230390548706,0.484375
0,0.6936585903167725,0,19,0.6936585903167725,0.4375
0,0.693306028842926,0,20,0.693306028842926,0.453125
0,0.692995011806488,0,21,0.692995011806488,0.484375
0,0.6928832530975342,0,22,0.6928832530975342,0.515625
0,0.6917034387588501,0,23,0.6917034387588501,0.625
0,0.6957706809043884,0,24,0.6957706809043884,0.375
0,0.6929333209991455,0,25,0.6929333209991455,0.5
0,0.6940426826477051,0,26,0.6940426826477051,0.46875
0,0.6923620104789734,0,27,0.6923620104789734,0.53125
0,0.6935132741928101,0,28,0.6935132741928101,0.484375
0,0.6926479339599609,0,29,0.6926479339599609,0.515625
0,0.6927991509437561,0,30,0.6927991509437561,0.515625
0,0.6949040293693542,0,31,0.6949040293693542,0.4375
0,0.6936445236206055,0,32,0.6936445236206055,0.484375
0,0.6906092166900635,0,33,0.6906092166900635,0.609375
0,0.6933245658874512,0,34,0.6933245658874512,0.484375
0,0.6950114965438843,0,35,0.6950114965438843,0.421875
0,0.692291259765625,0,36,0.692291259765625,0.53125
0,0.6926442384719849,0,37,0.6926442384719849,0.53125
0,0.6940120458602905,0,38,0.6940120458602905,0.453125
0,0.6936116814613342,0,39,0.6936116814613342,0.46875
0,0.6941651105880737,0,40,0.6941651105880737,0.40625
0,0.6932893991470337,0,41,0.6932893991470337,0.4375
0,0.693543553352356,0,42,0.693543553352356,0.421875
0,0.6921624541282654,0,43,0.6921624541282654,0.546875
0,0.6927645206451416,1,0,0.6927645206451416,0.515625
0,0.6919355392456055,1,1,0.6919355392456055,0.546875
0,0.6949645280838013,1,2,0.6949645280838013,0.453125
0,0.6904978156089783,1,3,0.6904978156089783,0.5625
0,0.6868095397949219,1,4,0.6868095397949219,0.625
0,0.6965836882591248,1,5,0.6965836882591248,0.453125
0,0.7027987241744995,1,6,0.7027987241744995,0.375
0,0.6913086175918579,1,7,0.6913086175918579,0.53125
0,0.6903232336044312,1,8,0.6903232336044312,0.546875
0,0.6957253217697144,1,9,0.6957253217697144,0.46875
0,0.686905026435852,1,10,0.686905026435852,0.59375
0,0.694949746131897,1,11,0.694949746131897,0.484375
0,0.6947968006134033,1,12,0.6947968006134033,0.484375
0,0.6934620141983032,1,13,0.6934620141983032,0.5
0,0.6926534175872803,1,14,0.6926534175872803,0.515625
0,0.6947134733200073,1,15,0.6947134733200073,0.484375
0,0.6987655758857727,1,16,0.6987655758857727,0.421875
0,0.6945877075195312,1,17,0.6945877075195312,0.484375
0,0.6898428201675415,1,18,0.6898428201675415,0.5625
0,0.6985228061676025,1,19,0.6985228061676025,0.390625
0,0.6968867182731628,1,20,0.6968867182731628,0.40625
0,0.6939253807067871,1,21,0.6939253807067871,0.453125
0,0.692870020866394,1,22,0.692870020866394,0.484375
0,0.6926980018615723,1,23,0.6926980018615723,0.578125
0,0.6927027106285095,1,24,0.6927027106285095,0.484375
0,0.6913310289382935,1,25,0.6913310289382935,0.546875
0,0.6896890997886658,1,26,0.6896890997886658,0.578125
0,0.682669997215271,1,27,0.682669997215271,0.671875
0,0.69388747215271,1,28,0.69388747215271,0.5
0,0.6957190036773682,1,29,0.6957190036773682,0.484375
0,0.6925541758537292,1,30,0.6925541758537292,0.515625
0,0.6946883201599121,1,31,0.6946883201599121,0.5
0,0.7095960378646851,1,32,0.7095960378646851,0.390625
0,0.6993944048881531,1,33,0.6993944048881531,0.46875
0,0.706028163433075,1,34,0.706028163433075,0.421875
0,0.7034546136856079,1,35,0.7034546136856079,0.4375
0,0.7005378007888794,1,36,0.7005378007888794,0.453125
0,0.6915403604507446,1,37,0.6915403604507446,0.53125
0,0.6969848871231079,1,38,0.6969848871231079,0.46875
0,0.7006475329399109,1,39,0.7006475329399109,0.421875
0,0.7032319903373718,1,40,0.7032319903373718,0.359375
0,0.6915366649627686,1,41,0.6915366649627686,0.53125
0,0.6945666074752808,1,42,0.6945666074752808,0.453125
0,0.6909835338592529,1,43,0.6909835338592529,0.609375
0,0.6915944814682007,2,0,0.6915944814682007,0.609375
0,0.693313717842102,2,1,0.693313717842102,0.34375
0,0.692912220954895,2,2,0.692912220954895,0.5
