,loss,epoch,batch,running_loss,acc
0,0.6941906809806824,0,41,"tensor(0.6942, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5000, device='cuda:0')"
0,0.7082420587539673,0,42,"tensor(0.7082, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.3438, device='cuda:0')"
0,0.6927909851074219,0,43,"tensor(0.6928, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5156, device='cuda:0')"
0,0.6902154684066772,0,44,"tensor(0.6902, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5469, device='cuda:0')"
0,0.6963123083114624,0,45,"tensor(0.6963, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4688, device='cuda:0')"
0,0.6994911432266235,0,46,"tensor(0.6995, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4219, device='cuda:0')"
0,0.700690746307373,0,47,"tensor(0.7007, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.3906, device='cuda:0')"
0,0.6894233226776123,0,48,"tensor(0.6894, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5781, device='cuda:0')"
0,0.6920709013938904,0,49,"tensor(0.6921, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5312, device='cuda:0')"
0,0.6914715766906738,0,50,"tensor(0.6915, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5469, device='cuda:0')"
0,0.6917161345481873,0,51,"tensor(0.6917, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5469, device='cuda:0')"
0,0.6942485570907593,0,52,"tensor(0.6942, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4688, device='cuda:0')"
0,0.6936498880386353,0,53,"tensor(0.6936, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4844, device='cuda:0')"
0,0.6929069757461548,0,54,"tensor(0.6929, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5156, device='cuda:0')"
0,0.6941028833389282,0,55,"tensor(0.6941, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4531, device='cuda:0')"
0,0.6938354969024658,0,56,"tensor(0.6938, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4531, device='cuda:0')"
0,0.6934946775436401,0,57,"tensor(0.6935, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4531, device='cuda:0')"
0,0.6931697130203247,0,58,"tensor(0.6932, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5000, device='cuda:0')"
0,0.6925902366638184,0,59,"tensor(0.6926, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5938, device='cuda:0')"
